Country,2021
United Arab Emirates,99.1
Qatar,90.13
Saudi Arabia,72.1
United States,68.64
Iceland,66.68
Puerto Rico,61.71
Canada,61.42
Switzerland,56.62
Lebanon,54.71
Norway,54.4
Ireland,54.26
New Zealand,53.96
Bolivia,52.97
Australia,52.06
Bahrain,51.69
Dominican Republic,51.08
Belgium,50.93
Trinidad And Tobago,50.72
Costa Rica,49.87
Palestine,49.42
South Africa,48.52
Nigeria,48.42
Guatemala,47.66
El Salvador,45.58
Kenya,45.3
Netherlands,44.35
Panama,44.16
Venezuela,44.11
Jamaica,41.47
Ecuador,39.45
Uruguay,38.86
Spain,37.86
Philippines,37.31
United Kingdom,37.09
Jordan,36.73
Germany,36.71
Malta,36.4
Iraq,35.99
Portugal,35.69
Cyprus,35.55
Austria,35.46
Slovenia,35.25
Japan,35.23
Singapore,35.02
Denmark,34.36
Greece,32.88
Mauritius,32.78
Morocco,32.38
Algeria,31.93
Peru,31.4
France,31.24
Indonesia,30.79
Kuwait,30.22
Libya,30.11
Ghana,30.01
Sweden,29.74
Italy,29.63
Israel,28.9
Malaysia,27.14
Mexico,26.68
Chile,26.6
Estonia,26.45
Montenegro,25.73
Croatia,25.36
Taiwan,24.36
Finland,23.71
Bangladesh,23.23
Bosnia And Herzegovina,22.9
Hong Kong,22.84
Czech Republic,22.1
Argentina,21.77
South Korea,21.31
Serbia,20.97
Colombia,20.96
Pakistan,20.59
Brazil,19.68
Armenia,18.96
Kosovo (Disputed Territory),18.85
Iran,18.82
Tunisia,18.56
Slovakia,18.47
Thailand,18.09
Uzbekistan,17.95
Latvia,16.89
North Macedonia,16.81
Albania,16.4
Azerbaijan,15.66
Belarus,13.63
Lithuania,13.62
China,13.18
Egypt,13.03
Nepal,13.01
Poland,12.99
Hungary,12.46
Bulgaria,11.99
Kazakhstan,10.97
Vietnam,10.39
Sri Lanka,9.43
Moldova,9.09
India,8.9
Russia,8.38
Romania,8.37
Turkey,8.36
Ukraine,4.65
